"Conc","timestamp","Bosch1","Bosch2","SGP30","Winzen1","Winzen2","Temperature","Humidity","absolute_Humidity","Bosch1_ppm","Bosch2_ppm"
0.00824693,"2021-02-11 13:12:00",73.823,27.1725,0,7.2,9.8,23.008,8.81,1.81123219409817,0,0
0.00842331,"2021-02-11 13:13:00",132.624,48.7065,0.85,8.7,9.3,23.0645,8.6105,1.77594647568597,0,0
0.00851977,"2021-02-11 13:14:00",173.4465,66.3365,0.75,9.25,11.9,23.0825,8.463,1.74732132175774,0,0
0.00949057,"2021-02-11 13:16:00",219.196,89.993,2.6,12.35,14,23.1235,8.3075,1.71924024645864,0,0
0.0103778,"2021-02-11 13:17:00",234.0625,96.482,2.75,13.65,14.75,23.146,8.2145,1.70218106717075,1403.31566791473,1446.37377780234
0.00952469,"2021-02-11 13:18:00",245.123,102.1955,3.95,14.25,14.85,23.1635,8.1615,1.69289044003721,1352.44200568038,1381.30107635433
0.0102803,"2021-02-11 13:19:00",253.705,106.914,6.35,15,14,23.179,8.1435,1.69065322309053,1311.07995744577,1326.53268044837
0.0105401,"2021-02-11 13:21:00",267.35,113.9005,6.4,15,13.65,23.2145,8.1005,1.68513956175974,1249.68008717295,1251.49030940181
0.0103554,"2021-02-11 13:22:00",272.504,116.568,4.95,14.65,13.2,23.224,8.057,1.67699986480209,1231.86427795114,1228.60587273935
0.0102501,"2021-02-11 13:23:00",276.993,118.8205,4.55,14,13.1,23.243,8.022,1.67152740396505,1215.52632598772,1208.76765197879
0.0104019,"2021-02-11 13:24:00",280.4215,120.816,4,14,13,23.2515,7.9875,1.66514663071487,1204.93012878707,1192.7299762674
0.0110169,"2021-02-11 13:26:00",287.3145,123.943,6.55,14,13,23.2565,7.902,1.64779284235982,1187.6712021743,1173.88423811133
0.010975,"2021-02-11 13:27:00",289.9285,125.1905,6.8,14,13,23.26,7.8505,1.63738076492604,1184.27363257056,1169.28930796075
0.0111362,"2021-02-11 13:28:00",292.2115,126.427,5.85,13.25,13,23.26,7.8135,1.6296636655945,1180.3745111612,1162.90896778351
0.0107922,"2021-02-11 13:29:00",293.972,127.355,5.35,13,12.15,23.261,7.8055,1.62808804796093,1174.07530392217,1154.9763524522
0.0243064,"2021-02-11 13:31:00",297.7715,129.1815,35.75,11.95,10.5,23.2515,7.8435,1.63512708582311,1152.63021745014,1131.78371527872
0.0583954,"2021-02-11 13:32:00",295.2015,128.046,137.2,10.55,14.95,23.2535,7.8795,1.64281954906122,1157.59867573944,1136.9528961167
0.0736629,"2021-02-11 13:33:00",294.1665,127.7695,179.15,19,25.7,23.26,7.967,1.66167919930778,1147.72065872778,1125.38672235343
0.0974317,"2021-02-11 13:33:00",294.1665,127.7695,179.15,19,25.7,23.26,7.967,1.66167919930778,1147.72065872778,1125.38672235343
0.134299,"2021-02-11 13:36:00",294.351,126.8545,296.35,53.6,62.6,23.25,7.883,1.64322088066601,1160.89989657878,1148.33358288576
0.160998,"2021-02-11 13:37:00",293.8325,126.4445,338.15,65.45,70.9,23.2465,7.8585,1.63778650978948,1167.24449919279,1156.5209704692
0.212854,"2021-02-11 13:37:00",293.8325,126.4445,338.15,65.45,70.9,23.2465,7.8585,1.63778650978948,1167.24449919279,1156.5209704692
0.243726,"2021-02-11 13:38:00",288.1255,123.585,643.15,85.05,89,23.24,7.8285,1.63092881999342,1197.00660953169,1190.35879368061
0.378626,"2021-02-11 13:41:00",278.5675,119.1355,1018.85,222.8,223.6,23.2385,7.75,1.61443646019034,1251.88095364609,1248.89804825752
0.404149,"2021-02-11 13:42:00",276.7395,118.341,964.1,273.25,264,23.2395,7.728,1.60994546774465,1263.59272441431,1260.74412403439
