"Conc","timestamp","Bosch1","Bosch2","SGP30","Winzen1","Winzen2","Temperature","Humidity","absolute_Humidity","Bosch1_ppm","Bosch2_ppm"
0.0199663,"2021-02-04 16:59:00",99.493,52.68,3.95,0,33,25.205,10.65,2.4800794457099,0,0
0.0201224,"2021-02-04 16:59:00",99.493,52.68,3.95,0,33,25.205,10.65,2.4800794457099,0,0
0.0208588,"2021-02-04 17:00:00",106.3845,56.929,5.45,0,33,25.128,10.6645,2.47272165362665,0,0
0.0214498,"2021-02-04 17:01:00",110.483,59.414,7.15,0,32.35,25.055,10.668,2.46339007381264,0,0
0.0220135,"2021-02-04 17:03:00",115.401,62.314,5,0,32,24.92,10.668,2.44472686329201,1248.00381199847,1248.98781946593
0.0610252,"2021-02-04 17:04:00",117.885,63.7365,4.45,0,31.5,24.834,10.609,2.41944617301677,1234.37655079949,1233.76715349216
0.0908294,"2021-02-04 17:05:00",118.001,64.0775,56,0,39.35,24.8445,10.6595,2.43240299781326,1226.47089719772,1220.42104321652
0.142518,"2021-02-04 17:06:00",117.0255,63.391,124.9,4.5,59.75,25.442,10.5655,2.49338535584991,1205.89530745425,1202.93314534553
0.265969,"2021-02-04 17:08:00",108.537,58.9245,230.35,16.4,78.05,28.0725,9.582,2.61725516895616,1239.41527704034,1233.65836619682
0.31569,"2021-02-04 17:09:00",105.1315,57.0015,269.5,12.65,89.55,28.95,9.1645,2.62661616960527,1274.80141961961,1270.66975753522
0.346581,"2021-02-04 17:10:00",102.623,55.6865,313.85,29.15,124.3,29.4345,8.891,2.61648035889886,1309.82169269196,1304.67748958029
0.381497,"2021-02-04 17:11:00",100.786,54.7575,349.95,50.65,171.45,29.7105,8.698,2.59840356073118,1341.06596879505,1334.37274074684
0.467602,"2021-02-04 17:13:00",99.6195,54.0815,401.95,104.6,270.3,29.808,8.517,2.55784351576233,1375.28377260053,1369.56635584909
0.492275,"2021-02-04 17:14:00",99.705,54.1415,421.6,140.15,315.3,29.718,8.4775,2.53356464942328,1386.13297984718,1380.10190795591
0.524237,"2021-02-04 17:15:00",100.18,54.392,443.05,173.55,356.9,29.5635,8.4745,2.51148271716113,1391.13450355627,1385.27424078194
0.553859,"2021-02-04 17:16:00",100.951,54.763,465.75,207,395.85,29.3445,8.5085,2.49167118555914,1391.45072333115,1386.67668988757
0.600751,"2021-02-04 17:18:00",102.55,55.6835,493.95,275.2,466.5,28.8345,8.6155,2.45372341782694,1390.99044461848,1385.02409130299
0.627067,"2021-02-04 17:19:00",103.3825,56.159,507.9,304.55,493.5,28.5595,8.6825,2.43584668339838,1390.02420169744,1383.53552030583
0.608369,"2021-02-04 17:20:00",104.4105,56.5935,496.3,317.1,498.15,28.283,8.759,2.42030590964923,1385.65660906066,1381.90212600329
0.591699,"2021-02-04 17:21:00",105.414,57.329,485.15,314.4,496.1,28.104,8.8365,2.41781338862818,1374.98805696443,1367.0495029552
0.564652,"2021-02-04 17:23:00",105.728,57.788,464.9,293.45,468.9,28.503,8.7205,2.43894039507594,1360.39504293457,1346.20619651775
0.546776,"2021-02-04 17:24:00",105.868,57.921,447.55,274.95,443.8,28.635,8.6415,2.43439568232564,1361.07236550529,1345.66402555208
0.529505,"2021-02-04 17:25:00",106.3855,58.116,431.95,257.45,425.4,28.649,8.597,2.42371775391329,1360.47195097457,1346.95767883891
0.51331,"2021-02-04 17:26:00",107.0575,58.4125,419.05,243.85,408.35,28.577,8.5895,2.41206844960568,1358.6234286747,1346.61901786161
0.481001,"2021-02-04 17:28:00",108.5235,59.0465,386.1,219.55,380.7,28.2685,8.6395,2.38538456153043,1355.52797626734,1347.03019674499
0.466922,"2021-02-04 17:29:00",109.476,59.6385,375.65,208,370.4,28.099,8.701,2.38008362975921,1347.38562588296,1337.34101907264
0.455855,"2021-02-04 17:29:00",109.476,59.6385,375.65,208,370.4,28.099,8.701,2.38008362975921,1347.38562588296,1337.34101907264
0.442548,"2021-02-04 17:30:00",109.371,59.823,369.9,194.75,371,28.1965,8.7075,2.39466597565488,1340.94993391082,1325.84477923584
0.410823,"2021-02-04 17:33:00",109.5715,59.913,331.45,149.7,311.7,28.7005,8.4785,2.39706110607641,1337.41090177178,1322.71602717509
0.399739,"2021-02-04 17:33:00",109.5715,59.913,331.45,149.7,311.7,28.7005,8.4785,2.39706110607641,1337.41090177178,1322.71602717509
0.387671,"2021-02-04 17:34:00",109.9395,60.0905,312,138.9,299.5,28.6425,8.4675,2.3863584658858,1338.81338678827,1324.61183853687
0.379161,"2021-02-04 17:35:00",110.5695,60.493,298.5,132.15,290.2,28.5145,8.482,2.37373344593991,1338.30147704643,1322.89764296349
0.35483,"2021-02-04 17:37:00",111.867,61.2015,274.15,122.1,275.1,28.1375,8.5825,2.35264549575723,1334.87296245203,1319.49705334161
0.346648,"2021-02-04 17:38:00",112.326,61.57,267.55,110.7,277.1,28.095,8.6365,2.36192043970937,1324.8363525728,1307.07500858067
0.335177,"2021-02-04 17:39:00",111.9715,61.6805,261.1,101.55,268.3,28.335,8.575,2.37623922970089,1321.23252064653,1297.27857705337
0.327846,"2021-02-04 17:40:00",111.8595,61.553,253.75,87.5,245.6,28.551,8.4865,2.37975041451733,1320.63779954142,1298.01946614375
0.304803,"2021-02-04 17:42:00",112.2165,61.6145,237.1,74.6,224.8,28.6235,8.4035,2.36585764417061,1323.97354491364,1304.08993832012
0.29631,"2021-02-04 17:43:00",112.6975,61.882,230.4,71.05,220,28.536,8.4115,2.35678032332283,1323.43227208592,1303.48001994296
0.290628,"2021-02-04 17:44:00",113.241,62.2275,222.2,69.35,216.55,28.389,8.4455,2.34730152971951,1322.45599915721,1301.55796522891
0.281813,"2021-02-04 17:45:00",113.9495,62.548,216.2,68.55,213.25,28.205,8.49,2.33594201806259,1320.72357757789,1301.20034243614
0.268267,"2021-02-04 17:47:00",114.118,62.83,213.35,59.6,213.3,28.252,8.535,2.35439658234955,1309.04000795441,1285.74080850472
0.262859,"2021-02-04 17:48:00",114.01,62.9525,207.95,52.9,193.7,28.5125,8.4255,2.35766303382741,1308.49052638746,1281.57302158784
0.257565,"2021-02-04 17:49:00",113.6975,62.7235,202.45,47.1,181.5,28.664,8.3515,2.35644027960114,1312.56992053516,1286.77684659325
0.251258,"2021-02-04 17:50:00",113.9975,62.75,197.9,43.05,174,28.682,8.319,2.34958534534072,1312.91761419075,1289.89042218175
0.237531,"2021-02-04 17:52:00",114.657,63.121,187.1,41,171.5,28.472,8.3515,2.33177090940547,1315.2204810108,1292.03529307346
0.23204,"2021-02-04 17:53:00",115.251,63.536,182.85,41.85,170.7,28.2935,8.3915,2.32009526665603,1315.03608350047,1290.11857139426
0.2266,"2021-02-04 17:54:00",115.7695,63.615,178.95,41.95,169.4,28.098,8.464,2.31512696418484,1312.10474750409,1291.24494722995
0.225394,"2021-02-04 17:55:00",115.7095,63.9745,179.2,37.25,176.2,28.15,8.485,2.32751800466237,1306.08033498091,1277.528434161
0.215283,"2021-02-04 17:57:00",115.1745,63.5655,175.1,26,147.4,28.6005,8.309,2.33630657926852,1307.1622580069,1280.83451467287
0.21083,"2021-02-04 17:58:00",115.2715,63.5175,171.15,22.4,141.5,28.666,8.263,2.33172473599258,1308.56379280174,1284.23262161165
0.207015,"2021-02-04 17:59:00",115.4905,63.5855,167.3,21.25,139.5,28.6195,8.2535,2.32311858468184,1310.81337177416,1287.51727757466
0.203992,"2021-02-04 18:00:00",115.964,63.8735,161.35,22.05,140.1,28.504,8.267,2.31223278450937,1311.57005535382,1287.73947948494
0.196747,"2021-02-04 18:02:00",116.986,64.333,152.5,24.05,142,28.1655,8.3635,2.29614544089364,1309.32922771438,1287.50654861127
0.192496,"2021-02-04 18:03:00",117.271,64.4245,151.95,21.1,145.4,28.1105,8.4105,2.30207562689653,1303.06351907433,1282.50577694431
0.190766,"2021-02-04 18:04:00",116.7555,64.489,152.9,18.05,143,28.329,8.3685,2.31825159320451,1299.8177386106,1272.502293736
0.188513,"2021-02-04 18:04:00",116.7555,64.489,152.9,18.05,143,28.329,8.3685,2.31825159320451,1299.8177386106,1272.502293736
0.18668,"2021-02-04 18:07:00",116.156,64.134,146.3,9,118.9,28.678,8.19,2.31264442088981,1309.27964690638,1282.42936787792
0.18236,"2021-02-04 18:08:00",116.6345,64.3855,141.6,8.8,120,28.585,8.196,2.3025767485106,1309.59442335787,1282.99063224429
0.179876,"2021-02-04 18:08:00",116.6345,64.3855,141.6,8.8,120,28.585,8.196,2.3025767485106,1309.59442335787,1282.99063224429
0.177751,"2021-02-04 18:09:00",117.344,64.651,138.45,9.35,122,28.4305,8.2325,2.29331837223053,1307.04980258743,1282.88295878968
0.1758,"2021-02-04 18:12:00",117.8405,65.1165,136.55,8.85,133.4,28.1995,8.3615,2.29989108951701,1298.19461107651,1270.33754600263
0.173221,"2021-02-04 18:12:00",117.8405,65.1165,136.55,8.85,133.4,28.1995,8.3615,2.29989108951701,1298.19461107651,1270.33754600263
0.170157,"2021-02-04 18:13:00",117.611,65.029,134.9,11.5,116.8,28.4625,8.2715,2.30823141762378,1296.10661719026,1267.49355510977
0.168969,"2021-02-04 18:14:00",117.422,64.8285,133.7,14.8,107.1,28.6415,8.1955,2.30957536921912,1297.38938165783,1270.62596660382
0.166364,"2021-02-04 18:16:00",117.543,64.798,128.25,16,104.4,28.669,8.1415,2.29781635042796,1302.48248786658,1277.59472721128
0.164113,"2021-02-04 18:17:00",117.872,64.9315,126.3,14.6,106.7,28.5445,8.1655,2.28892109939558,1303.83701578226,1279.8704257325
