"Conc","timestamp","Bosch1","Bosch2","SGP30","Winzen1","Winzen2","Temperature","Humidity","absolute_Humidity","Bosch1_ppm","Bosch2_ppm"
0.0103654,"2021-02-03 13:47:00",126.915,34.6395,2.2,18,18,22.647,14.806,2.98164097192928,0,0
0.0103678,"2021-02-03 13:48:00",135.926,38.598,1.65,18,18,22.694,14.6285,2.95384732532713,0,0
0.0102912,"2021-02-03 13:49:00",142.922,41.9665,4.95,18,18,22.734,14.488,2.93219361458559,0,0
0.0113877,"2021-02-03 13:51:00",151.414,47.275,3.75,17.7,18,22.792,14.3025,2.90428848746081,0,0
0.0112911,"2021-02-03 13:52:00",154.453,49.4875,7.75,18,18,22.816,14.199,2.88723885744983,1266.1922150916,1343.3095312598
0.0115636,"2021-02-03 13:53:00",156.4835,51.5695,8.6,18,18,22.841,14.135,2.8783439492479,1253.72320442378,1295.65355827968
0.0116789,"2021-02-03 13:54:00",157.958,53.3945,13.45,17.4,18,22.8655,14.0855,2.87229148049922,1244.63117053113,1254.81311169007
0.0116667,"2021-02-03 13:56:00",159.82,56.6085,12.3,16.8,18,22.893,13.948,2.84873482787152,1240.27636271312,1192.04280491717
0.0115251,"2021-02-03 13:57:00",161.031,58.056,17.9,17,18,22.908,13.9005,2.841472472983,1234.03120067986,1163.67239253847
0.0116269,"2021-02-03 13:58:00",161.1385,59.266,23.7,16.05,18,22.9175,13.9295,2.84894939160741,1229.91214045768,1134.6028658385
0.0125043,"2021-02-03 13:59:00",160.6045,60.327,40.65,14.45,17.4,22.913,13.9505,2.85250956737427,1232.50033745683,1110.86181090992
0.0368013,"2021-02-03 14:01:00",156.826,61.7025,108.7,20,17.4,22.953,13.9535,2.85966237549595,1259.12971244553,1079.55044269165
0.0556941,"2021-02-03 14:02:00",155.502,62.3705,122.65,36.7,29.05,22.9655,13.9145,2.8537101208465,1272.3321375646,1068.69502321642
0.0714994,"2021-02-03 14:03:00",155.581,63.301,164,43.3,36.75,22.9785,13.844,2.84136404522135,1277.11689623872,1055.60376115725
0.0880951,"2021-02-03 14:04:00",155.2265,64.106,156.55,48,41.85,22.99,13.778,2.82967924277368,1285.11942967388,1044.95880434265
0.115431,"2021-02-03 14:06:00",154.3725,65.477,176.75,57.15,49.9,23,13.716,2.81855784839926,1296.93797751069,1023.43010177453
0.123261,"2021-02-03 14:07:00",154.3865,66.2005,176.7,60.55,54.5,23,13.6715,2.80941335844201,1300.88669617898,1013.75582765326
0.125913,"2021-02-03 14:08:00",154.7115,66.9535,164.55,60,55.05,23,13.6285,2.80057710971926,1302.19581123738,1003.55564384053
0.127209,"2021-02-03 14:09:00",154.1005,67.5475,177.65,61.15,56.35,23,13.609,2.79656997367057,1308.9320049788,994.304574100583
0.137391,"2021-02-03 14:11:00",153.572,68.687,181.65,67.45,61.45,23.0025,13.524,2.77950044128758,1320.87940148048,981.046504063477
0.14102,"2021-02-03 14:12:00",153.558,69.258,182.05,69.35,63.9,23,13.52,2.77828099375605,1321.54189136352,971.24664935229
0.142531,"2021-02-03 14:13:00",153.1175,69.729,182.7,70.5,65.9,23,13.527,2.77971945285046,1324.48580114211,962.127579687529
